adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
apor tú,dificultad,llanto,negro,soledad,llegada,respiracion,persona vivido,test,parte,decoración,conjunto ropa,opuestar timidez,tristeza,compar pesos,nacionalidad,cuidado personal,ombligo,doctor,['presente ópera'],partido ser querido,utilizar dormir,cerveza,grupo,analitico,moluscir,animal,invierno,pata larga,excepcional,comercia,line visible unión,entretencion,['melon'],expresar provocar estimulo,falta respetar,marcar diferenciar,azucar,alegría,magia,['abstracto'],['rutín'],poder producir ansiedad,girar,arte,importancia,cobarde,irregular,desproporción,gordo,tener suerte favor,delirio,polvo estelar,disparador,espinilla,servir calentar él,sangre,lluvia,señal,parabolir,taco vehicu él,poder referir él dinero,bigote,dolor,viaje,club fútbol nombre,limpio verdoso,plenitud,porción pequeño,poder sentir lastimo persona,grande,ganar edad,demonio,deber cumplir,debajo ojo,fe,daño,elegancia,figurar público,ilusión,manera ver vida,calma,pixel,carga,lugar evento lujo,dispositivo acción,humedad,['grandeza'],pasto,investigar,utilizar autodefenza,lugar espacio,espacio fisico,infiltrar él,alumno,gravedad,injusticia,similitud,deber,['acceso anticipado'],lata,perturbacion,respuesta,mensualidad,claro,alimento,heroe,mano,describir actua persona,dulce,introvertido,pinta,reconocimiento importante,regularización papel,revisar,['sediento sangre'],fisico,turista,rojizo,ligado
añadir,paciencia,organo,juego,alejado ciudad,proximo,bocar,persona sabiduer,tarea,esquina,mejorar,vestimento,manera ser,pedir ayuda,poder medir gramo,simbolismo,pelo,esteriotipo,genético,['francés'],ira,holgar,jarra,reunión persona,dirigir,tortugar,cueva,caldo,varios raza,magia,dar ingreso monetario,confección prenda,turismo,['fruta'],sabroso,comportamiento,escencial,helado,tristeza,gustar,['cosa'],['planeta'],generar liberación adrenalinar,dar vuelta,hombre,impresion ,tirano,dominio,desaliño,traicion,casualidad,locura,big bang,accionador,pus,servir cocinar,ley,peligro,pista,caer,flujo,poder referir él entrar algun lugar,gorro,pena,manejar,conjugación levantar,campo fértil,pañal,padecimiento,siempre bueno sentir lastimo persona,papá,obtener experiencia,estafador,obligar,suave niño,post resiliencia,querrar,clase,político,fachada,posible objetivo alguien,lobo,definicion,papel realizar,bello extenso,servir inicio,cocodrilo,['bien recordado'],vivir,crimen,peligro,lejano,vivir humanidad,verdadero,colegio,cuerdar,tapar,igualación,volver inicial,['ser dueño tener él'],rizo,agitacion,movimiento menor seguir sismo,retribucion,reluciente,huerta,decir pedir ayuda,figurar,relajado,apetecible,temeroso,escondido,hacer banda cantante importante,sacar carnet,referir correcto,['condes'],espejo,alguien ir lugar,amarillento,afinidad
ampliación,tolerancia,molestia,estrategia,trabajo campo,poder tomar,diente,mucho historia contar,profesor,lado,edificar,traje,fácil practicar,sufrimiento,grande,cultura,barba,piel,delfín,['distinto'],frio,intimidad,antiguedad,veloriir,motivar resto,viscoso,oscuro,guiso,parte familia ave,hechacer,usar regadio,cualquiera color,largo viaje,['pelar'],disfrutable,falta prudencia,hecho delicadeza,ternura,añoranza,atraccion,['sobrenatural'],['naturaleza'],poder hacer persona gritar,forma circular,grande,apariencia,pasar alto,miedo,deformidad,maldad,atraer suerte,fiesta,sistema interior,diminutivo gato,infeccion,usar quemar persona antiguedad,testosteronar,tornado,evidencia,lado,dinero,,perro,sentimiento fuerte,tránsito,poder implicar tomar cosa alzar él,contener vida,niño,parte sufrimiento,poder definir acción,dinero,periodo posterior adolescencia,delincuente,imponer acto,cara,alegría,lucha,mesa,dominador territorio,falso,relacionado misterioso,luna,fotografiar,cercanir,bello extenso,trasmitir fuerza,especie lago barro,['importancia'],porción terreno,cuerpo,defensa personal,redondo,primero civilización,fundamento,mostrador,oficina,cliente,ver mirar espejo,volver,['protegido'],mujer,revolucion,replicar,honorario,mancha,planta,poder representar sigla sos,metal,libertad,sabroso,miedo pensar dema,recrear,simbolir respetar,llevar tiempo,palabra utilizar lógica,['monstruoso'],relacionado alguien creer perfecto,poder llegar conocer país lugar distinto,condimento,compromiso
expansión,motivación,mantener él alejado,torrir,musculoso,posible,lengua,vivido momento histórico,capacidad,punto,acuerdo,prenda,valentia,pena,pesar oro,representatividad,gillette,comida,mar,['artista'],ensangrentado,pijamar,taberno,lugar tenso,experimentado,bar,agua,cacerola,beb,formula,agricultor,comúnmente blanco,lujo,['deshecho'],comestible,verguenza,minucioso,dulce,recelo,satisfaccion,['paranormal'],['compañia'],generar reacción huida,line curir alejar él punto,altura,posicionamiento,aceptar,cara,desarreglado,bigote,favorecer,juventud,estrella planeta,iniciador,comeson,asociar brujeer,estrogeno,tormenta,inicio,inmovil,ganancia,,caso,eexpresión,anuncio,punto salir sol,lugar tranquilo,habil,desprendimiento gota salta,algun evento desafortunado,blanco,poder implicar persona mayor,antisocial,acto inmediato,cachete,alivio,fuerza especial,cubierto,todo persona,poder usar él persona crear real,dios,vampirir,megar,acompañamiento,lujoso,control pesos,distinto especie animal insecto,['pasado'],relacionado agrícultura,pena,país facil tener acceso,enorme,lugar rústico,base,conocimiento,jefe,guante,auto espejo ver auto,retornar,['nadie poder tener'],pelo,alborotir,copia cosa,recompenso,suave,huerto,ayuda prestar alguien,naturaleza,habilidad,consistir exhalar aire,lindo,básico,oferta,tedioso,referir seguridad correcto,['peligroso'],relacionado alguien creer habiidad superior,poder llegar lugar lejano,persona irritable,unión dos persona
aumento,resistir,abejo,enrroque,calor,radar,cepillo diente,buen perspectiva aconsejar,ser bueno,extremo,describir posicionamiento distinto elemento,indumentario,fuerte,lobo,poder usar cocina,futbol,tijera,lleno,profesional,['pintura'],muerte,descanso,cafeterio,distante,firme actuar,lento,humedo,olla,animal,tecnico,trabajo campo,coser,exclusivo,['reciclaje'],placer,valiente,pequeño,pastel,preocupación,desear,['inmaterial'],['conocido'],capaz paralizar alguien,dar vuelta rededor eje,grecia,jerarquizacion,tomar contar,moneda dos,monstruosidad,mamifero,beneficio azaroso,noche,estrella planeta,disparo,mano,poder usar rito funerario,feromona,miedo,clave,capacidad cuerpo,persuacion,,crimen,pérdida alguien preciado,cartel,nombre alternativo,parejo,capaz,llorar,sentir él mal alguien,dios,poder implicar persona vivido mucho cosa,droga,realizar,pomulo,gratitud,usado militar,mantel,gobernar,obra teatro,misterio,nublado,tamaño,pelicular,lugar lindo,parte juego,vegetacion,['museo'],lugar poder construir,obstáculo,mortal,poder contener vida,poco tecnología,razón,memoria,tarea,comentario,accion ocurrir evento imprevisto,volver pasar lugar,['compartir'],amortiguación,tempestad,obra arte igual,jornal,higienir,flor,necesitar malo situación,poder crear cuerpo,gentileza,indicar alguien cansado,atractivo,habíl,entrega,querer evitar,poder referir él ley,['espectro'],relacionado alguien creer excesivamente atractivo,aventura,persona soler enfadar él,poder referir él matrimonio
pegar,resilencia,puntiagudir,juego mesa,lana,distancia poder llegar,chicl,opinión conservadora,desarrollo capacidad,line,existir floral,unifor yo,confianza,noche,pesar,himno,local,grasa,gustar biología,['alternativo'],oscuro,dormir,comedor,union persona,inspirar respetar,campo,murcielago,vasija,volar,invocacion,ir recoger verdura fruta lista consumir él utilizar él,ropa,buque,['aroma'],agradable,desatinado,minusculo,novia,nostalgia,atractivo,['forma'],['hogar'],hacer recorder circunstancia sentir,caparazón animal,marmol,acomodado,norma,lugar diferenciado limit,horrible,gato,trebol 4 hoja,exaltación,grande,pistola,rostro,hacer aire libre,endorfina,tragedia,pista,mantener movimiento,cambio parecer,,misterio,sufrimiento,papel,relacionado españa,ventoso,claro,tristesa,tristeza,lazo,importante relación funcionar,fiesta,imponer regla,piel,religion,bomba,carreño,creer ejercer ley favor,creación,universo,humo,espacio,mafia,costoso,parte auto,peligro,['tumba'],lugar poder poner huerto,dificultad,proteccion,medio vacio,forma primitivo vivir,suposición,lugar trabajo,verdadero falso,andar bien,accion invountario,retroceder,['guardar'],cable,protesta,vez exponer museo,gratificacion,bueno salud,fruta,moralmente correcto responder llamado,materia poder ser solida,facilidad,indicar alguien molesto,rubor,capacidad persona,voluntario,tramit bancario,poder referir él sentimiento,['criaturar antiguo'],alguien interesar solo cosa importancia,cultura,persona aguafiesta,poder referir él relación familia
agregar,perder entusiasmo,dolor,necesitar inteligencia,herramienta,acceder,pasta diente,importar mantener tradición,promedio,recta,hacer distinto elemento vean mas atractivo visto,gala,leon,luna,medidor,escudo,barba,embarazo,saber biología,['creativo'],muerte,pijamar,borrachera,religion,seleccion futbol,niñez,socrat,almuerzo,ave,sobrenatural,ir recoger verdura fruta lista consumir él utilizar él,costurero,oceano,['cuchillo'],gozo,chistoso,parcimonia,crema,mucho distinto,hechacer,['conceptualmente entendible'],['rodear'],ser testigo injusticia,parecer hélizar,museo,ranking,contrario establecido,limit,imperfección,independiente,suerte,ánimo,via lactear,arma,pubertad,utilizar ritual,lh,destruccion,inicio,físico,manipulacion,,ansiedad,arrepentimiento,escritura,poder implicar mover abajo hacia arriba,plano,capacidad ver claramente,sentimiento,pena,cariño,necesario poder tener éxito,malo intencion,orden,sonrisa,inexplicable,guerra,manual,poder,espacio,magia,dificultad ver,claridad,persona,casa lleno lujo,parte físico,húmedal,['reliquia'],familia cultivar alimento,piedra camino,asalto,sistema solar,contruido ser humano,argumentación,asiento,juego,facultad cliente,estimulo,regresar punto,['aparta'],soportar impacto,bastar conformismo,permitir masificar exclusivo,sueldo,salubre,verdura,persona pedir poder desesperado,capacidad cuerpo,gentileza,poder hacer inconscientemente,ansiedad,imposibilidad ser eficiente,ofrendir,vez requerir tiempo,poder referir él documento,['nocturno'],referente inútil,persona creer existir viajero tiempo,componer químico,referente unión dos cosa
complemento,evitar decaer,herido,desteza,bosque,mencionar,bocar,cansado físicamente,hacer bien,dos lado,referir reparar alguno objeto,banquete,atrevir,perro,usado pesar fruta,representar grupo gente,pelo,guatita lleno corazon contento,estudiar biología,['rebelde'],ataud,noche,noche,lugar oracion,liderazgo,caracola,profundo,frio,pajaro,rezo,ir recoger verdura fruta lista consumir él utilizar él,tienda,caribir,['cobertura'],tierno,depender contexto,perfecionismo,cherry,poder definir acción,agradable,['grupo'],['ambiente'],generar ser testigo violencia,así mover cosa viento,historia,economio,pagar,mostrar distinción,demacrado,libre,loterio,pasión,hoyo negro,guerra,adolescencia,utilizar celebración fiesta,componente ser vivo,catastrofir natural,investigacion,fórmula,estafador,,sospechar,agradable persona experimentar,metal,poder implicar enderezar,cerro,objetividad,agua,compasión,conexión,relacionado responsabilidad,crueldad,autoridad,margaritasal sonreír,creencia,destruccion,libro,rey,diseño,secreto,peligro andar,pureza,masculino,casa grande,palo,ecosistema,['monumento'],división legal tierra,peligro,arma,mezcla polvo gas,rural,predicción,silla,colgante,llegar empresa,,pasado,['proteger'],ayuda implementación,bullar,existir persona especializado hacer,dinero,casto,comenzar,deber prestar policia situación peligroso,estable,gracia,nombre postre hecho merengue,introvertido,bueno hacer,dar,tarea,relacionado autenticidad,['sangre'],relacionado arrogancia,aventurero,aliño,poder referir él simbólico
sumar,calle 13,metodo defensa,planificación,cortar,llegar,calor,mismo fuerza juventud,ser malo,parte cuerpo geométrico,,alto nivel socioeconomico,lanzar,hallowear,juzgar,historia,mostacho,gordura,persona pensante,['liberal'],tristeza,sueño,entretencion,rezar,tropa militar,planta,oscuro,choclo,nido,exorcismo,hacer distinto momento año,hi él,anciano,['piel'],encanto,depender descarado,parte,amor,alegrio,gusto,['representación'],['objeto persona acompañar'],asombro,existir fibonacci,alto,social,cumplir responsabilidad,etapa,disonante,bigost,cofre moneda,ímpetu desproporcionado,conjunto,bala,hormona,bruja,capaz generar cambio interno,destructivo,crimen,movimiento,manipular,,querer saber,,panel,poder implicar acción despegar,terreno,realidad,ojo,empatir,vida,relacionado capacidad razonar,contine maldad,decreto,grasa,requerir fe,ataque algun pai,candelabro,religion,simulación,tarot,montaña,transparencia,adulto,castillo,torcar,natural,['infraestructura'],relacionado planeamiento urbano,costoso,amenazar,elips,gente,idea,mesa,collar,queja,,volver,['ocultar'],parte esencial producto,perturbar,poder ser ilegal,billete,limpio,recurso,poder prestar tropa situacion peligroso,compacto,agilidad,poder ir acompañado sonido discomfort,miedoso,mejor cosa,impuesto,actividad,poder referir él argumento juicio,['colmillo'],relacionado soberbiar,nomado,malo,poder referir él relación empresa
sumar,chile,pinza sacar él piel,anticipar movimiento contrincante,frio,decir importancia,olor,gustar seguir rutín diario,saber,figurar,,estatus,decidido,terror,servir pesar distinto objeto,varios color,arreglo,guato,marino,['carrete'],crimen,dormir,camaradeer,paz,poder,lluvia,vivir cavernicolir,huaso,beber,esoterismo,temporada depender cada fruta verdura,tela,viaje,['cascar'],deleitar,relativo,porcion,dulce,tristeza,beber,['asociación'],['objeto persona acompañar'],susto,mucho escalera forma,hecho piedra,respetable,cumplir general,comento,subjetivo,cola,dinero,agitación,parte universo,muerte,piedra valor,comida,utilizado químicamente,peligroso,culpable,velocidad,dirigir,,conocer,,marco,poder usar él referir él ánimo,espacio pasto,atento,amor,comprensión,familia,poder referir él fruta vegetal,solo mala intención,transable,rubor,escepticismo,defensa,respetar,edad medio,mentira,ocultismo,amanecer,limpio,jefe,rey,interruptor,peligroso,['grande'],poder ser propiedad privado,requerir esfuerzo,peligroso,estrella,casa antiguo,razonamiento,madera,pendiente cadena,solicitud,,atra,['esconder'],expandir contraer,cambio,común industria moda,dolar,contaminado,materia primar,tender pedir persona confeír,duro,facilidad,poder indicar persona ansiosa,social,tosco,monetario,responsabilidad,poder depender presencia ausencia firma,['miedo ajo'],relacionado complejo superioridad,curioso,ensalado,mayoría poder romper
agregar,resistir,clave abeja,estrategia,hacha,relevancia,amor,débil,constancia,linea,,traje,intrepido,oscuridad,persona poder pesar,flamea,locion,gordura,profesor,['noche'],homicidio,comodidad,amigo,arrodillar él,lucha,francia,frio,campo,ave,ruego,temporada depender cada fruta verdura,bastar,verano,['huevir'],bueno,hombre,ser especifico,miel,rabio,bondad,['concepto encerrar objeto'],['interactuamo'],feo,tornado tomar forma parecido,representación,admiracion,colusion,experiencia,cada vez menos juzgado,cuatro pata,azar,entusiasmo,cuerpo celeste,sangre,utilizar cocina,fuego,utilizado biológicamente,ocurrir país clima tropical,misterio,circular,persona,,desear,,pizarrir,levitación,plano,alerta,llanto,poner él lugar,capacidad,poder referir él fruta vegetal,buscar hacer daño,uso autoridad,pellicer,acto extraordinario,violencia,educar,palacio,actuación,indefinido,película terror,resplandeciente,bautizo,ostentoso,madera,oscuro,['roma'],poder ser propiedad público,experto,dar seguridad,satelit,calle tierra,lógica,colegio,indicar,incumplimeitno,,vuelta,['cuidar'],rebotar,torbellino,imitación,riqueza,pulcrir,vida,solicitar ayuda,entero,destreza,poder referir él periodo tiempo corto,hacer mucho cosa,bruto,legal,rápido,poder referir él periodo alimento seguro consumir,['fictisio'],relacionado alguien creer intelectualmente superior,conocedor,liquido,poder interpretar él intangible unir dos cosa
equipo,fuerza,abejo,pensar,madera,meta,respiración,añós,seriedad,esquina,,vestir él,valor,bosque,existir distinto tamaño,rectangular,corte,obesidad,medicina,['vida ciudad'],calabera,solturar,alcohol,iglesia pequeño,resiliencia,arrastrar mover él,incomodo,chile,migracion,terror,producto,arreglo,playa,['recubierto'],postre,cara,parte,cariño,temor,maravilla,['poseer mismo atributo'],['influencia persona'],tetrico,geometrio,dar imagen alguno persona importante,riqueza,evitar,aspecto,nadie querer ser,gato,casino,excitación,familia,vaquero,utilizar hacer mesa,roca,utilizado tecnológicamente,distinto nivel intensidad,deduccion,unifor yo,lider,,desconocido,,señaletico,peso,campo,despierto,felicidad,sentir vivir alguien,familia,viejo,villano,obligacion,margarito,acto común,mucho persona poder morir,habito,avaricia,estructura,morado,fogoso,luminoso,mafia,monarquia,cambio,sucio,['antigüedad'],lugar vivir persona,habilidad,protección,tierra,huaso,pensamiento abstracto,estudiante,direccion,consulta,,retorno,['almacenamiento'],salto,agitacion,falsificación,trabajo,aseado,natural,peligro,resistente,habilidad,poder referir él último exhalación persona,poco amigo cercano,caido,gubernamental,diligencia,veridico,['tenebroso'],pecado capital,busqueda,agrio,existir afectivo materno esencial desarrollo
grupo,valentir,punta,movimiento limitado,trabajo,capacidad obtener,calor,coco,habilidad,geometrio,,ropa,salvador,lobo,tamaño depender objeto desear pesar,representación ciudad,pelo,chavo ocho,salud,['arte'],hallowear,antiguo,bar menos sofisticado,cruz,barco,desplazar lentamente,piedra,choclo,pico largo,pelicula,mercaderir,coser,disney,['cubierto protector fruto seco'],gusto,palma,permitir complementar,tierno,,hermoso,"['poder ser persona', 'actividad', 'etc']",['definir actuar'],frio,caracol,obra,exito,metro,variacion,fisico dentro,peludo,destino,exacerbación,agrupación,gato,usar ornamento costoso,madera,sexuliadad,otorgar nombre persona,camino,desviacion,negociar,,experiencia,,informacion,press banco,gran extención,claridad,sal,cariño,cargo,fruta,perverso,asignar deber,cara,acto improbable,armamento,brazo encima mesa,ostentoso,contrucción,estrella,nube,deslumbrante,italia,torre,switch,agua,['imperio'],piscina,competente,violencia,galaxia,animal,teoer,alumno,angulo,responsabilidad,,reverso,['guardar cosa'],elastico,revoloteo,copia,banco,salud,planta,riesgo,fuerte,gracia,poder indicar desear,hablar desconocido,equilibrio,,gestión,verificacion,['palido'],belleza,alguien paso,agrio,poder referir link página web
sumar,corazón,dolor,acción irreversible,madera,proyecto,aguantar,viejo,superior,piramidir,,combinar ropa,valentia,perro,peso,país,orden,dolor,anatomia,['queir'],csi miami,femenino,bar,jesus,capitar americar,metabolismo lento,desolado,papa,beber,demonio,materia primar,chaqueta,blanco,['cubierto protector vegetal fruta'],dulce,golpe,extra,cachorro,,belleza,['ocupar base dato'],['factor externo'],ojo grande,bobín,figurar,nivel,impuesto,dinamico,fisico dentro,colmillo,dinero,tipo delirio,energía,maullido,rocar ígneo,carbón,masculino,relacionado agua,pista,potencia,incidir,,visto,,desvio,sentadillar,vivir animal,despejar,canal lacrimonasal,piedad,cuidar,paltar,cuerno,reinado,piel,imposible,herramienta,porfavor-gracia,castillo,disuación,divino,agua,radiante,arma,princesa,puerta,vegetación,['edad medio'],hectarea,detectivar,munición,gigante,campo,concepto,colegio,extremo,compromiso,,regresar,['pedir anticipación'],oscilacion,alborotir,piraterio,impuesto,sano,ciclo,vulnerable,firme,descaro,decepcion,tristeza,coordinacion,,ejecución,importante,['espada'],preocupación,transporta,mal gusto,conexion
