acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia ,verdad,éxito
trato,['mostrar apreciación tras concedido'],['producir miedo'],['poner inquieto'],sentimiento culpa,sentimiento,medida tomar frente hecho,['significar palabra'],problema,['habilidad alguno actividad'],['anhelo'],['acción justificar falta'],['alegrio'],['utilidad'],aptitud acción actividad determinado,alguien decir verdad,ser respetuoso padre,uno galleta nombre concepto,chance presentar,riesgo,mente,idea,pensamiento,['respaldo'],['proponer'],concepto irrefutable,asociado felicidad
pacto,['ser cortés alguien portado bien'],['mucho vez inminente'],['gana cosa sucedar rápido'],sentir remordimiento,generado tras análisis acción pasado,elegir,['acotamiento'],reacción situación favorable,['poder ser deportivo'],['producir calma'],['argumentación'],['demostrar sonrisa'],['poder ser material'],destreza,sinceridad,ser responsable,poder llegar ser trastorno sicológico,intento,punto llegar malo situacion,neurona,encontrar inicio proyecto,relacionado proporción,['producir tranquilidad'],['dar opinion acerca'],poder discutir,persona buscar
queda hacer alguien,['mostrar respeto alguien realizar'],['preparar situacion peligro'],['nerviosismo'],ocurrir enterar él ver injusticia,remordimiento,atrever él,['explicación palabra'],descontrol,['poder ser académico'],['dar mucho cosa'],"['cumplir', 'utilizar']",['contagiós'],['asociado dinero'],poder tener él distinto campo área,caracterizar persona buena,cumplir ley resultar,poder desconectar él,poder ser laboral,malo,sinapsis,manera organizado dar,permitir elegir,['guardia'],['plantear alguno solucion'],pre establecido gente,cúspide laboral
consensir mas parte,['gratitud'],['potencial agente daño'],['angustiar'],valor importante,acusación recae individuo,tener fuerza,['caracteristico palabra'],desenboca mala decisión,['poder ser musical'],['bueno'],['servir vía escape fácil cumplir'],['abundar amistad'],['contrario pérdida'],capacidad,contrario ser mentiroso,deber,dejar dormir,ocasión hacer,producir miedo,imaginacion,poder generar él manera individual grupal,saber,['producir alguien cuidar'],['mostrar punto visto propio'],tambien atributo persona,triunfar
ceder,['das alguien ayudar'],['potncial peligro'],['desesperación'],piedad,altamenir ligado acusación,reaccionar,['todo palabra'],estrés,['capacidad innato'],['dar alivio'],['poder ser mentira'],['chocolate'],['beneficio'],herramienta distender él entorno,hacer gente creer decir,responsabilidad,encerrar él,opción,tratar evitar él,psicologo estudiar,maquinación,conciencia,['dar padre hijo'],['tratar ayudar alguien'],bien valorado sociedad,tener dinero
entendendimiento,['creer deber darselir dios u divinidad'],['mal acechante'],['sentimiento provocar nervio'],perdonar,ligado castigo,poseer opinion,['servir encontrar significar'],acción precipitado,['guardar relacion talento'],['motivacion'],['tipo mentira'],['realización'],['recompenso dinero haber hecho alguno acción'],facilitar realización acción,sinceridad,compromiso deber realizar,dejar ver todo opción pro solo,parte analisis foda,cuerpo preparar momento de …,imagen mental,tramar mediante idea,mente,['firmeza'],['querer resolver algun problema'],nadie poder recriminar él,ser reconocer
comprensión,['alguien hacer bueno este …'],['buscar persuadir'],['persona encontrar ansia'],ayudar,ir acompañado castigo fisico psicologico inferido entorno mismo,tener idea,['descripción'],fuertemente vinculado preservación,['habilidad logica resolucion problema'],['producir bienestar'],['usar evitar cosa agradar gente'],['plenitud'],['esfuerzo traer recompenso'],ventaja competitivo comparativo,evidencia,existir escrita palabra,concepto percibido negativo,ocasión ganar,amenazar externa,razonamiento,poder ser trabajo,humano pose,['confianza'],['indicar mejor solución'],contrario decir mentira,tener suerte
legitimización,['deber darselir alguien bueno tú'],"['poder ser real', 'creible efectivo']",['sensación agradable'],decision,sentir presión cometer,seguro,"['característica cosa', 'objeto persona']",origina bienestar ver fuertemente amenazado,['desenvolver él actividad forma determinado'],['perder'],['siempre implicar verdad'],['eudemonismo'],['poder ser valor material inmaterial'],aplicar diferente area desarrollo naturaleza,pureza,sujeto cambio,similar vicio,posibidad,riesgo,necesitar,poder ser acción,uso lógica,['consistir sentir él protegido'],['deber hacer manera sutil'],mentir,ser inteligente
permitir mantener cohesión social,['bueno dar él'],"['forma mas distendido', 'conocido aceptado ley']",['sobreevaluar situación'],emocion,arrepentimiento,tener confianza,['detallar'],perturba demaciado,['entrena producir uno …'],['importante perder él'],['ocurrir evitar situación'],['alegría'],['recompenso'],evolutivo permitir especie perdurar,expresar verdad,imperioso complir él,persona volver adicto,posibilidad ser humano poder tomar,posibilidad daño,debido hacer hacer,poder ser estudio,entendimiento,['puedeser lugar confortable seguro'],['constructivo'],decir cosa tal,ser pudiente
favorecer representatividad,['dar hijo padre'],['peligro'],['sobreevaluar comportamiento entorno'],libertad,presión cometer,comparar,['significar'],persona alterar,['talentoso'],['necesitar'],['pretexto'],['sonrisa'],['percibir algun beneficio'],humano nacen facilidad remarcable,poder traer sufrimiento,deber,vez poder jugar,opción tomar dar vida individuo,situacion advertencia,poder ser positivo negativo,acuerdo,motor cambio,['estabilidad'],['poder señalar error'],certeza,ser educar
sublimo relación interpersonal,['dar'],['panico'],['cuestionar él demasio'],autoestima,luego malo accion,analizar resultado,['descripción'],incontrolable,['obtener practicar'],['posibilidad éxito'],['evadir situación'],['objetivo vida'],"['poder ser monetario', 'físico', 'espiritual']",humano desarrollar conforme requerir,dificil mantener él,trabajo poder fallar,bueno,existir mucho vida,situacion poder haber elemento peligroso,pensar persona,respaldo,ver incrementado conforme adquirir mayor experiencia educación,['supuesto función brindar'],['opinion'],irrefutable,ser justo
país realizar mucho vez largo historia,['bueno sentir tú asi vida'],['alerta'],['inseguridad'],alivio,sentimiento,seguridad,['explicación concepto u objeto'],alteracion,['persona adquirir innatamente'],['relacionado color verde'],['aplazar'],['observar gente simpático'],['subjetivo cada persona cosa'],tener agilidad,opuesto mentira,condicion,trastorno,nuevo experiencia,elemento peligroso poder ocasionar grande daño,indicar opinión percepción invividuo,hacer ir preparado,elemento distintivo entidad relevante sociedad,['riesgo'],['idea'],existente,ser innovador
llegar resolución,['atraer hacer mas cosa buena'],['miedo hacia especifico'],['nerviosismo'],dolor,remordimiento,asocia pensamiento,['proponer caracteristica'],ver aprieto,['demuestra hacer bien alguno actividad'],['último perder'],['justificar'],['payaso'],['poder señalar éxito'],ser útil determinado,valor,parte contrato,repeticion conducta,permitir desarrollo nuevo habilidad,arriesgar él pasar,actúar forma individual,buen malo,permitir tomar decisión acertado,['segurito personaje'],['comentario'],cosa decir padre,resultado realización aspiración
trato dos parte,['forma dar gracias alguien'],['poder perjudicar'],['generar accionar precipitar'],sentimiento,conciencia,requerir minimo inter,['descripción'],saber mas hacer,['deportista buen pasear'],['luz final camino'],['respuesta'],['risa'],['utilidad'],fortaleza,cualidad,parte fin mayor,poder vivir alguno cosa,situación ventajozar poder sacar provecho,riesgo,hecho ocurrir mente,preparado,promover desarrollo discusión,['cinturon de …'],['reflexion'],cosa decir profesor,fama
forma generar paz país,['agradecido significar apreciar hacer mismo'],['malo'],['trastorno psicológico'],empatir,sient mal,capacidad elegir,['explicar hacer'],ansiedad,['significar casi mismo talento practicar'],['fé'],['minimización situación'],"['íntegro ser', 'momentáneo']",['cotrario perdido'],destreza,soler poner duda,exigencia,idolatrar,implicar mejora bienestar caso ejecutar él,acción perjudicar bienestar propio,acción mente,siempre b,solo humano,['confort'],['dar amigo'],real,conllevar aprobación social
solucionar conflicto persona hacer,['gratitud'],['entrega persona'],['lectura errado sobreestimulado acontecer'],comprender especial situación,querer hacer sentir él,poder tener grado dificultad,['servir saber desconocido'],nerviosismo,['practicar'],['creer venir tiempo mejor'],['generar ponderación negativo recibir'],['sentimiento agradable'],['bueno'],capacidad hacer,virtud,realizar individuo,depender,brecha actual posiblidad mejor,correr algun riesgo,circunstancia activo mente,dar mayor probabilidad éxito,permitir resolver problema,['sentimiento lograr mediante realización cierto actividad'],['dar conversacion apropiado'],verosimil,ganador
sintetizacion idea general,['mostrar gratitud'],['poder ser verbal físico'],['acto perjudicar organismo'],piedad,hicistir daño,depender variable,['decir rair'],sentimiento angustiante causado fracaso,['habilidad'],['optimismo'],['evitación'],['sentimiento provocado situación positiva'],['esforzastir lograr él'],destreza,consistir decir verdad,necesario acuerdo cumplir él,interés exagerar incontrolable,presentar largo vida individuo,guagua soler mas expuesta concepto,hacer diar,estrategia,verificar alguien correcto,['existir guardián calle recinto privado'],['sujeto gusto cada persona'],poder tomar reflexion religioso,triunfante
pacto,['demuestra gratitud'],['poder terninar violencia'],"['comer exceso', 'beber demasiado', 'fumar exceso', 'etc']",humanidad,hacer sentir triste,involucra accion,['dar conocer'],sentimiento producido falta capacidad esperar,['resultado positivo'],['aspiración'],['evadir hecho medio poder ser verdad'],['ánimo'],['normalmente asocia dinero'],capacidad,rectitud,deber realizar él,exceso,poder tomar desechar,deber tener cuidado,permitir resolver problema,idea,hacer uso mente,['deber tener poder actuar'],['siempre beneficiar dar opinion'],ciencia siempre decir,mucho persona aspirar llegar
deber cumplir,['satisfecho'],['acción atento bienestar'],['acto conducir hacer cosa exceso'],misericordia,pón depresivo,traer consecuencia,['dar término palabra'],poder funcionar mecanismo defensa caso particular,['habilidad'],['probabilidad cumplir'],['manera explicar'],['estilo vida'],['poder dar persona forma gratitud'],potencial,mentir,poder ser molesto,ser cargante,aprovechar él generar remordimiento futuro,poder afectar fisicamente,permitir razonar,todo actividad deber tener llevar él cabo,predomín siglo 18,['sentimiento confort bienestar'],['respuesta comparacion'],admitir,mejor lograr
concuerdar dos parte,['reconocer gesto entidad'],['situación peligroso tratar hacer'],['provocado nervio'],,reprochar,esfuerzo,['aquel buscar saber significar'],angustiar,['alguien bueno alguno disciplina'],['aplicar solo situación acontecer futuro'],['forma justificar él'],['alegrio'],['premio'],unicar cada persona,principio moral religioso extendido,planeado,cuadrado,generar incerteza dar invitar individuo salir zona confort,constantemente expuesto él,permitir replantearno cosa,confección mental buscar lograr objetivo,suceder pensamos,['mutual tratar brindar él'],['opcion'],real incuestionable,asocia riqueza
consenza,['sentir él deuda'],"['conjunto situación intentar realizar perjudicar', 'alguien']",['presentar situación estrés'],,poder llevar él todo vida,realizar persona grupo persona,,estrés,['dominio'],['desear suceda futuro'],['utilizar normalmente frente error'],['sensacion placer'],['hacer sentir feliz'],especial,anhelar todo persona relacionar,traer consecuencia,sesgarce alternativa,presentar situacion beneficioso,delincuente ejemplo concepto,ayuda poder filtrar decir,hacer querer realizar viaje anticipacion,base solida,['gente estudiar poder tener cargo tratar dar él'],['poder ser ignorado'],,solo poco llegar
,['contento'],['alerta situacion estresante'],['producir gana comer'],,matar alguien producir,elegir,,escás recurso,['poseer deportista'],['concepto mas bien romantico'],['usar querer asumir responsabilidad'],['positivo'],['suerte'],sobresaliente,,constricción,problema,dar situacion deber aprovechar él,motivo deber cuidar,relacionado cerebro,jefe guerra hacer buscar ganar,correcto,['policia dar sentimiento'],['poder ser aceptado'],,figura televisivo deportivo obtener
,['sentir empatiar hacia entidad'],"['circunstancia', 'sujeto persona poder causar daño']",['producir esperar alguno respuesta situacion'],,realiza acción buena contrarestar él,cosa,,limitación,['permitir triunfar determinado area'],['relacionado cabalidad razón lógica'],['facil realizar'],['cuerpo'],['adquisición cosa positiva'],accion,,deber,reiterar alternativa,poder viajar gratis,advertencia,tambien relacionado lógica,personaje serie libro decir idea,argumento,['proteccion'],['ayuda'],,
,['accion persona hacer sentir tú satisfecho'],['alerta'],['gana saber'],,sentimiento causado arrepentimiento,camino u,,hacer obligado,['habilidad'],['brota resolución futuro probable naturaleza adverso'],['querer hacer busca uno …'],['transmitir'],['dinero recibido venta'],distinto,,carga,concretar objetivo,buen ocasión,indicar situación necesitar cuidado,abstracto,realizar lobulo frontal,lógica,['contrario amenazar'],['idea'],,
,['realizar gesto bondadoso persona forma gratitud'],['aproximar peligro'],['dar poder esperar'],,ser responzable acción,manifestar preferenico,,crítico,['fisicar'],['verde'],['pretexto'],['irradiar'],,innovador,,correlato derecho,ver allá,hacer feliz,frente situación desconocido,mostrar forma ver cosa,usar representación mental,usar matemática,['despreocupar problema'],['consejo'],,
,['regalo cariño'],['próximo ser atacar cualquiera aspecto'],['sentimiento angustiar'],,,tomar postura,,vivir persona,['mental'],['sentimiento necesario adversidad'],['servir librar él'],['opuestar tristeza'],,poseer reconocimiento,,vincular persona realizar determinado acción,,ayuda aspecto,forma proteger,limitar,expectativa realizar futuro,usado ciencia físico,['sentir él protegido'],['inter tema'],,
,['mas totalmente acuerdo termino condición'],['advertir'],['fuerte necesidad'],,,privilegiar demá opción,,común fin semestre,['poseer habilidad alguno actividad'],['deber perder él ninguno momento'],['motivo'],['buscar vida'],,capacidad,,mandato,,aprovechar él,señalar exposicion poder provocar daño,parte cognitivo ser humano,objetivo,relacionado pensamiento ordenado,['libre riego'],['forma participar tomar decisión'],,
,['recibir dar cambio'],['sient atacar'],['controlable'],,,pensar aproximar consecuencia,,,['positivo'],['fe'],['usar habitualmente tener culpa'],['bienestar'],,destreza,,orden,,chance,sentimiento llevar inseguridad,poder ser positivo negativo,organizado,análisis crítico,['prevención cualquiera peligro'],"['si aceptado', 'transforma decision']",,
,['hacer bien realizar'],['hacer poner precavido situación varios'],['sentimiento negativo'],,,varios opción,,,['poder utilizar él diferenciarte resto'],['cosa estarir mejor'],['poder ser mentira verdad'],['contento'],,caracteristico positivo,,imperatividad,,,poder ser físico psicológico,filósofo fuente conocimiento,proyectar futuro,acertado,['antónimo alterar'],['poder correcto'],,
,"['mientras potencies', 'feliz']",['pretender hacer sienta miedo'],['oscuridad'],,,respuesta,,,['poder explotar él'],['soler perder él'],['ser creible'],,,ser bueno ámbito,,coacción,,,padre defender mientras niño todo vida,razonar,,lógico,['zona confort'],,,
,['salir carrera dar madre'],['situación tensión'],['claustrofobia'],,,,,,['habilidad realizacion'],['causa diferente emoción gente'],['servir justificar'],,,recurso trabajar,,liga sujeto actuar,,,sentimiento amenazar,asociar,,importante antigüedad,"['otorgar candado', 'puerta cerrado', 'etc']",,,
,['expresión gratitud'],['advertencia'],['producido situación estresant'],,,,,,['capacidad'],['gratitud'],['certidicado'],,,destreza,,,,,lugar alto dar sensación,forma hacer conciencia,,fundamento,['confianza'],,,
,['poder utilizar finalizar trato'],['regaño'],['nervio'],,,,,,['asocia actividad'],['felicidad'],['responder preguntar'],,,dominio heredar,,,,,animal araña perro rabioso hacer sentir él,forma analizar cosa,,pensar persona,['preocupación'],,,
,['sient alguien dar necesita'],['restringir'],['inquietud'],,,,,,['poder ser potencia'],['aceptar ocurrido'],['poseer informacion importante'],,,facilidad frente,,,,,poder dañar,humano capaz ocupar él,,responder preguntar,['confortabilidad'],,,
,['salir tiendar lugar expreso'],['castigar'],['incertidumbre'],,,,,,['cierto actividad necesitar'],['contagia'],['subterfugio'],,,don,,,,,riesgo,involuntario,,motivo,['riesgo'],,,
,['satisfecho'],['problema'],['estrés'],,,,,,['experiencia'],['crítica'],['deber dar gente cumplir'],,,sobresalir,,,,,siniestro,poder potenciar,,asocia proporcion,['sensación'],,,
,['experimentar hacia'],['ofensa'],['incomodidad'],,,,,,['automatico'],['futuro'],['patraña'],,,enseñanza superior,,,,,posibilidad cierto daño,permitir tomar decisión,,argumento,['salvo'],,,
,['recibir después hacer favor'],['ataque'],['dificultar pensamiento'],,,,,,['involucra pensamiento'],['sentimiento cumplir deseado'],['común persona irresponsable'],,,manejar demá,,,,,eventualidad pérdida,poder involucrar cualquiera tema,,testimonio,['representar peligro'],,,
,['mostrar gratitud'],['representar riesgo'],['angustiar'],,,,,,['profesional'],"['sentir querer alguien', 'vaya bien']",,,,personal independiente persona,,,,,detrimento,asocia personalidad,,ser logico,['gusto'],,,
,['mostrar afecto después prestar atención'],['peligroso'],['dificultad'],,,,,,['habilidad innato'],['gente pueblo guerra'],,,,,,,,,menoscabo,voz interno,,poder ser verdad mentira,,,,
,['gracias'],['enfrentamiento'],['enfermedad'],,,,,,['usain bolt deportista poseer'],['saber vendra despu'],,,,,,,,,problema,lenguaje generado interior persona,,fundamente vida,,,,
,['sentimiento satisfacción alguno buen acción'],['enemigo'],['falta autocontrol'],,,,,,['ingenio'],['soñar gratificacion futuro'],,,,,,,,,protegen seguro,aun saber provenir,,ambiguo,,,,
,['capacidad dar gracias'],['condicional'],['sensación nervioso poder ser angustiar inestabilidad'],,,,,,['habilidad'],['fe'],,,,,,,,,verificar existir catástrofe natural,informacion yacer mente,,capacidad humano,,,,
,['reconocimiento aspecto positivo'],['jaque'],['sentir exámen'],,,,,,['capacidad poder realizar accion'],['último perder'],,,,,,,,,encuentra apuro,simbolir mental representar realidad,,permitir,,,,
,['recompenso'],['intimidación'],['sentir forma dar gana comer'],,,,,,['habilidad'],['fe nuevo oportunidad'],,,,,,,,,expuesto consecuencia negativa,razonamiento,,coherencia,,,,
,['brindar gracias'],,['nervioso exceso sentir así'],,,,,,['aptitud'],['poder ser nombre mujer'],,,,,,,,,alto probabilidad riesgo,reflexión,,razonamiento,,,,
,['manifestar él bueno hacer persona'],,['nervio'],,,,,,['idoneidad'],['creer imposible poder arreglar'],,,,,,,,,alerta,análisis,,existir diferente tipo,,,,
,['demostrar tomo contar realizar'],,['consecuencia constante estrés'],,,,,,['persona dedicar'],['fe'],,,,,,,,,encuentra seguro,idea,,permitir planteo idea,,,,
,['manifestación positivo'],,['preocupación futuro'],,,,,,['poder adquirir innatamente práctica'],['sentimiento'],,,,,,,,,alerta máximo,aquel pasar mente,,requerir pensamiento,,,,
,['dar respuesta'],,['poder ser tipo trastorno'],,,,,,['mejor deportista disciplina'],,,,,,,,,,adversidad,operación intelectual,,interponer emoción,,,,
,['cordialidad'],,['poder derivar crisis'],,,,,,['realización correcto quehacer'],,,,,,,,,,inseguridad,proceso mental,,plenitud,,,,
,['educación'],,,,,,,,['mejor forma hacer cosa'],,,,,,,,,,situacion incomodo,persona mirar hacia arriba responder,,estudiar kant,,,,
,['respuesta frente causa favorecer'],,,,,,,,['ser hábil'],,,,,,,,,,riesgo,hacer tener idea cuestionarno cosa,,dar alguien decir correcto,,,,
,['sensación'],,,,,,,,['hacer facilidad trabajo actividad'],,,,,,,,,,salvedad,relacionado mente,,argumento,,,,
,['conforme'],,,,,,,,['tener mayor capacidad innato'],,,,,,,,,,,personal,,vincular valoración,,,,
,['ligado modal'],,,,,,,,['rápido obtener mejor resultado'],,,,,,,,,,,hacer mayor parte día,,proporción,,,,
,,,,,,,,,['característico persona alto rendimeir'],,,,,,,,,,,modo reflexionar,,sabiduer,,,,
,,,,,,,,,['ir mejorar práctica'],,,,,,,,,,,conectar mismo,,saber,,,,
,,,,,,,,,['relacionado desempeño'],,,,,,,,,,,identificar quién,,equivalencia,,,,
,,,,,,,,,['ágil'],,,,,,,,,,,hacer tener opinión propio ideal,,usar matemática,,,,
,,,,,,,,,['obtener mayor rendimiento'],,,,,,,,,,,inconsciente,,creer siempre tener,,,,
,,,,,,,,,['cosa hacer ser profesional'],,,,,,,,,,,procesamiento información,,seguridad fremte,,,,
,,,,,,,,,['habilidad'],,,,,,,,,,,capacidad análisis,,certeza,,,,
,,,,,,,,,['facilidad realizar'],,,,,,,,,,,reflexión,,,,,,
,,,,,,,,,['manejo elevebado'],,,,,,,,,,,mental,,,,,,
,,,,,,,,,['poder trabajar'],,,,,,,,,,,poder compartir él,,,,,,
,,,,,,,,,['capacidad'],,,,,,,,,,,personal,,,,,,
,,,,,,,,,['dominio'],,,,,,,,,,,depender cada persona,,,,,,
,,,,,,,,,['desplante'],,,,,,,,,,,meditación,,,,,,
,,,,,,,,,['llamar atención'],,,,,,,,,,,proceso interior,,,,,,
,,,,,,,,,['habilidad'],,,,,,,,,,,poder verbalizar,,,,,,
,,,,,,,,,['conciencia hacer'],,,,,,,,,,,abstracto,,,,,,
,,,,,,,,,['aprender'],,,,,,,,,,,carácter subjetivo,,,,,,
,,,,,,,,,['agilidad'],,,,,,,,,,,,,,,,,
,,,,,,,,,['forma realizar actividad'],,,,,,,,,,,,,,,,,
,,,,,,,,,['arte'],,,,,,,,,,,,,,,,,
,,,,,,,,,['maniobra'],,,,,,,,,,,,,,,,,
,,,,,,,,,['otorgar facilidad'],,,,,,,,,,,,,,,,,
,,,,,,,,,['dotar'],,,,,,,,,,,,,,,,,
,,,,,,,,,['cualidad'],,,,,,,,,,,,,,,,,
